200
32,0,0,0,0,0,0,80
33,904,160,32,126,21,44,80
34,0,896,64,46,5,28,80
35,288,672,80,110,-3,44,80
36,140,0,80,158,-3,28,80
37,812,544,80,126,-3,44,80
38,0,672,80,126,-3,44,80
39,108,896,32,46,21,28,80
40,222,0,47,158,15,28,80
41,271,0,47,158,12,28,80
42,468,800,72,94,1,60,80
43,542,800,72,94,1,60,80
44,894,576,36,78,19,124,80
45,894,544,56,30,9,92,80
46,142,896,36,46,19,124,80
47,660,0,80,158,-3,28,80
48,0,160,68,126,3,44,80
49,70,160,64,126,5,44,80
50,136,160,72,126,1,44,80
51,210,160,72,126,1,44,80
52,284,160,80,126,-3,44,80
53,366,160,76,126,1,44,80
54,444,160,74,126,0,44,80
55,520,160,72,126,1,44,80
56,594,160,68,126,3,44,80
57,664,160,74,126,0,44,80
58,916,416,36,110,19,60,80
59,824,0,36,142,19,60,80
60,82,672,62,126,6,44,80
61,780,800,64,62,5,76,80
62,146,672,62,126,6,44,80
63,210,672,76,126,-3,44,80
64,742,0,80,142,-3,28,80
65,682,288,80,126,-3,44,80
66,764,288,80,126,-3,44,80
67,846,288,80,126,-3,44,80
68,0,416,80,126,-3,44,80
69,82,416,64,126,5,44,80
70,148,416,64,126,5,44,80
71,214,416,80,126,-3,44,80
72,296,416,80,126,-3,44,80
73,378,416,56,126,9,44,80
74,436,416,76,126,-3,44,80
75,514,416,80,126,-3,44,80
76,596,416,72,126,5,44,80
77,670,416,80,126,-3,44,80
78,752,416,80,126,-3,44,80
79,834,416,80,126,-3,44,80
80,0,544,80,126,-3,44,80
81,58,0,80,158,-3,44,80
82,82,544,80,126,-3,44,80
83,164,544,80,126,-3,44,80
84,246,544,80,126,-3,44,80
85,328,544,80,126,-3,44,80
86,410,544,80,126,-3,44,80
87,492,544,80,126,-3,44,80
88,574,544,80,126,-3,44,80
89,656,544,80,126,-3,44,80
90,738,544,72,126,1,44,80
91,486,0,44,158,17,28,80
92,578,0,80,158,-3,28,80
93,532,0,44,158,13,28,80
94,698,800,80,78,-3,44,80
95,180,896,80,30,-3,140,80
96,66,896,40,46,13,28,80
97,370,672,80,94,-3,76,80
98,740,160,80,126,-3,44,80
99,452,672,80,94,-3,76,80
100,822,160,80,126,-3,44,80
101,534,672,80,94,-3,76,80
102,0,288,64,126,5,44,80
103,66,288,80,126,-3,76,80
104,148,288,80,126,-3,44,80
105,230,288,64,126,5,44,80
106,0,0,56,158,5,44,80
107,296,288,80,126,-3,44,80
108,378,288,64,126,5,44,80
109,616,672,80,94,-3,76,80
110,698,672,80,94,-3,76,80
111,780,672,80,94,-3,76,80
112,444,288,80,126,-3,76,80
113,526,288,80,126,-3,76,80
114,862,672,80,94,-3,76,80
115,0,800,72,94,1,76,80
116,608,288,72,126,-3,44,80
117,74,800,80,94,-3,76,80
118,156,800,80,94,-3,76,80
119,238,800,80,94,-3,76,80
120,320,800,72,94,1,76,80
121,862,0,82,126,-5,76,80
122,394,800,72,94,1,76,80
123,320,0,64,158,5,28,80
124,452,0,32,158,21,28,80
125,386,0,64,158,5,28,80
126,616,800,80,78,-3,60,80
